horizon,graduation_auc,graduation_acc,gpa_mae,gpa_rmse,gpa_r2,attendance_auc,attendance_acc,risk_acc_t2_eq
t0,0.8147504939137085,0.7575757575757576,0.6050811440542003,0.8857153821474772,0.2448463987439239,0.9818218623481781,0.9352617079889807,
t1,0.9370897329679434,0.8911845730027548,0.09976610579825755,0.2551374262602131,0.937339296848429,0.934655870445344,0.8746556473829201,
t2,0.9697916002804154,0.9435261707988981,0.09105702628642465,0.20878861333822493,0.958037578333287,0.9109514170040486,0.8471074380165289,1.0
