horizon,description,tau,T,accuracy,precision,recall,f1,auc,brier,logloss,TN,FP,FN,TP
t0,pre_semester,0.40365080858801744,1.0,0.7851239669421488,0.7388059701492538,0.6971830985915493,0.717391304347826,0.8545025810974446,0.1460704339829282,0.4507065649267783,372,70,86,198
t1,after_sem1,0.3672150907257707,1.0,0.8870523415977961,0.8389261744966443,0.8802816901408451,0.8591065292096219,0.9469361417373016,0.07554563900380218,0.2590741603932586,394,48,34,250
t2,after_sem2,0.3422326690180729,1.0,0.9159779614325069,0.8562300319488818,0.9436619718309859,0.897822445561139,0.9736473137467337,0.05812663874806548,0.2367606785083697,397,45,16,268
