horizon,feature,family,mean_abs_shap,mean_shap,direction,actionability,actionability_score
t2,s2_enrolled,2nd-Semester,0.0244053929459454,0.005377524124055,Risk,Supportable via Programs,2
t2,s2_eval_rate,2nd-Semester,0.0242242672059884,0.0059223953092609,Risk,Supportable via Programs,2
t2,s1_credit_rate,1st-Semester,0.0237855827726711,0.0050339478375315,Risk,Supportable via Programs,2
t2,s1_eval,1st-Semester,0.0194022268543674,0.0074034147736035,Risk,Supportable via Programs,2
t2,s1_to_s2_approved_delta,2nd-Semester,0.0193356968019941,0.0001422370738005,Risk,Supportable via Programs,2
t2,s2_eval,2nd-Semester,0.0176336436922403,0.0012864571776468,Risk,Supportable via Programs,2
t2,eval_participation_gap,Other,0.0162973587830926,0.0044579136154215,Risk,Supportable via Programs,2
t2,s2_credit_rate,2nd-Semester,0.0127814734828345,-0.0009975240646152,Protective,Supportable via Programs,2
t2,s2_eval_gap,2nd-Semester,0.0117970322513601,-0.0006647578897757,Protective,Supportable via Programs,2
t2,s1_wo_eval,1st-Semester,0.0104806135637702,0.0046527016283073,Risk,Supportable via Programs,2
t2,s1_eval_gap,1st-Semester,0.0102711153244078,0.0035049131996593,Risk,Supportable via Programs,2
t2,gdp_x_debtor,Financial/Macro,0.0097685959582394,0.0012960486542782,Risk,Institutional Lever,3
t2,inflation_x_debtor,Financial/Macro,0.0088859030805978,0.0009475590390305,Risk,Institutional Lever,3
t2,s1_credited,1st-Semester,0.0088063875109519,0.0010730227812844,Risk,Supportable via Programs,2
t2,Debtor,Financial/Macro,0.0082148051087815,0.0020123269526015,Risk,Institutional Lever,3
t2,s2_wo_eval,2nd-Semester,0.0069300067420796,0.0021221749263309,Risk,Supportable via Programs,2
t2,s2_credited,2nd-Semester,0.0050416636370848,0.0005766613639954,Risk,Supportable via Programs,2
