horizon,description,dominant_family,share_of_impact_pct,suggested_policy_lever
t0,pre_semester,Academic Preparation,29.8,"Bridge/remedial modules for students admitted with weak prior grades, assigned before classes begin (t0)."
t1,after_sem1,Risk Composite,52.6,"Composite risk-score dashboards for advisors, refreshed each horizon, to prioritise caseloads (t0-t2)."
t2,after_sem2,Risk Composite,59.6,"Composite risk-score dashboards for advisors, refreshed each horizon, to prioritise caseloads (t0-t2)."
