horizon,description,tau,T,accuracy,precision,recall,f1,auc,brier,logloss,TN,FP,FN,TP
t0,pre_semester,0.5269809962686073,1.0,0.9309068476249229,0.9672259071400703,0.9077261076528744,0.9365319229316207,0.980739174909987,0.04914369324393646,0.1622997258698277,2048,84,252,2479
t1,after_sem1,0.5143255942266501,1.0,0.9319350195352663,0.9622496147919877,0.9146832662028561,0.9378637131593768,0.9807154737181262,0.0493748459636266,0.16302781409319486,2034,98,233,2498
t2,after_sem2,0.5090680909461887,1.0,0.9629858112276373,0.9840607210626185,0.9494690589527646,0.966455460305628,0.99483133682279,0.025109808032888585,0.08673905834620482,2090,42,138,2593
